epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,152.814,1.20432,1.49524,0.98766,0.80805,0.69109,0.75915,0.44923,1.39484,1.47113,1.07219,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,155.754,1.19832,1.47226,0.97833,0.59438,0.81142,0.74379,0.44357,1.39979,1.50786,1.07597,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,158.824,1.17968,1.40806,0.99025,0.61909,0.75415,0.7616,0.4786,1.35659,1.46626,1.06283,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,162.207,1.20109,1.4537,0.99412,0.88565,0.64107,0.76858,0.49165,1.3695,1.47107,1.04812,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,165.672,1.14558,1.40343,0.98538,0.86608,0.61925,0.76736,0.47238,1.38834,1.47371,1.06523,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,168.583,1.19854,1.44295,0.98734,0.7825,0.65891,0.74711,0.46408,1.37966,1.46093,1.05754,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,171.59,1.20077,1.38456,0.99666,0.80214,0.64755,0.75506,0.45322,1.42946,1.4543,1.07495,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,174.539,1.17508,1.38131,0.9902,0.83647,0.64949,0.74172,0.45702,1.36039,1.43909,1.05507,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,177.601,1.16196,1.4225,0.98374,0.8015,0.62912,0.74054,0.46162,1.39261,1.49203,1.05762,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
57,180.553,1.15682,1.38433,0.98501,0.7412,0.67406,0.73324,0.46017,1.42518,1.50053,1.07019,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
