epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1170.94,0.42202,0.50184,0.08595,0.79694,0.77269,0.78593,0.47324,0.47762,0.66484,0.14126,0.00120429,0.000401429,0.00120429,0.000401429,0.00120429,0.000401429,0.00120429,0.000401429
50,1193.34,0.45284,0.50755,0.09712,0.7757,0.7814,0.78671,0.4737,0.47009,0.66601,0.13901,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
51,1214.9,0.4363,0.49196,0.09514,0.76813,0.79662,0.78599,0.48163,0.47461,0.66043,0.1381,0.00109821,0.000366071,0.00109821,0.000366071,0.00109821,0.000366071,0.00109821,0.000366071
52,1237.2,0.4101,0.49074,0.08539,0.76255,0.7906,0.78444,0.48652,0.46782,0.6652,0.13463,0.00104518,0.000348393,0.00104518,0.000348393,0.00104518,0.000348393,0.00104518,0.000348393
53,1259.31,0.41233,0.48224,0.08678,0.79235,0.77137,0.77927,0.47525,0.47082,0.6593,0.13174,0.000992143,0.000330714,0.000992143,0.000330714,0.000992143,0.000330714,0.000992143,0.000330714
54,1281.21,0.41096,0.49629,0.08984,0.76652,0.78041,0.78009,0.4817,0.47127,0.66852,0.13263,0.000939107,0.000313036,0.000939107,0.000313036,0.000939107,0.000313036,0.000939107,0.000313036
55,1304.06,0.4398,0.4855,0.09995,0.77674,0.77263,0.77964,0.48125,0.45811,0.70331,0.12738,0.000886071,0.000295357,0.000886071,0.000295357,0.000886071,0.000295357,0.000886071,0.000295357
56,1326.28,0.41711,0.47183,0.09188,0.74477,0.79022,0.7867,0.48427,0.45626,0.69968,0.12782,0.000833036,0.000277679,0.000833036,0.000277679,0.000833036,0.000277679,0.000833036,0.000277679
57,1349.44,0.43012,0.47616,0.10032,0.75777,0.80168,0.78328,0.48504,0.46971,0.6905,0.1298,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
58,1373.5,0.43822,0.4986,0.10415,0.83351,0.73884,0.7884,0.49471,0.46771,0.6722,0.13131,0.000726964,0.000242321,0.000726964,0.000242321,0.000726964,0.000242321,0.000726964,0.000242321
59,1399.01,0.42562,0.47378,0.10184,0.84027,0.74279,0.78908,0.49541,0.46513,0.68902,0.13214,0.000673929,0.000224643,0.000673929,0.000224643,0.000673929,0.000224643,0.000673929,0.000224643
60,1424.65,0.42951,0.47069,0.09097,0.80052,0.75507,0.77954,0.48845,0.47182,0.69275,0.13423,0.000620893,0.000206964,0.000620893,0.000206964,0.000620893,0.000206964,0.000620893,0.000206964
61,1447.68,0.40536,0.4794,0.10824,0.74756,0.77629,0.78008,0.47336,0.46604,0.69812,0.1291,0.000567857,0.000189286,0.000567857,0.000189286,0.000567857,0.000189286,0.000567857,0.000189286
62,1471.3,0.38602,0.44494,0.08488,0.77921,0.77737,0.78299,0.48097,0.46592,0.69594,0.12859,0.000514821,0.000171607,0.000514821,0.000171607,0.000514821,0.000171607,0.000514821,0.000171607
63,1493.08,0.36615,0.45204,0.08208,0.7816,0.77376,0.77628,0.47381,0.46833,0.70872,0.12842,0.000461786,0.000153929,0.000461786,0.000153929,0.000461786,0.000153929,0.000461786,0.000153929
64,1515.55,0.38579,0.45485,0.09353,0.78684,0.76667,0.77936,0.47678,0.46361,0.69615,0.12838,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
65,1538.08,0.40372,0.45457,0.09886,0.79875,0.75081,0.78264,0.48009,0.46589,0.70047,0.12941,0.000355714,0.000118571,0.000355714,0.000118571,0.000355714,0.000118571,0.000355714,0.000118571
66,1560.11,0.3858,0.45139,0.08968,0.82211,0.76824,0.78893,0.48898,0.46942,0.69539,0.13245,0.000302679,0.000100893,0.000302679,0.000100893,0.000302679,0.000100893,0.000302679,0.000100893
67,1582.69,0.40767,0.43799,0.09949,0.81848,0.76109,0.79119,0.49522,0.46728,0.69513,0.13103,0.000249643,8.32143e-05,0.000249643,8.32143e-05,0.000249643,8.32143e-05,0.000249643,8.32143e-05
68,1605.04,0.37113,0.44156,0.08996,0.83512,0.74931,0.79429,0.49422,0.4434,0.73876,0.12473,0.000196607,6.55357e-05,0.000196607,6.55357e-05,0.000196607,6.55357e-05,0.000196607,6.55357e-05
69,1626.84,0.38613,0.44484,0.10178,0.82082,0.77319,0.79121,0.49266,0.47783,0.66158,0.13639,0.000143571,4.78571e-05,0.000143571,4.78571e-05,0.000143571,4.78571e-05,0.000143571,4.78571e-05
70,1649.59,0.37505,0.43472,0.08514,0.81194,0.77616,0.79072,0.49387,0.46891,0.68855,0.13257,9.05357e-05,3.01786e-05,9.05357e-05,3.01786e-05,9.05357e-05,3.01786e-05,9.05357e-05,3.01786e-05
