epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,842.333,1.15677,0.63463,0.00416,0.70885,0.57267,0.64484,0.3972,1.77946,1.73916,0.00841,0.000346625,0.000346625,0.000346625
75,853.851,1.12473,0.67101,0.00418,0.68774,0.58946,0.64749,0.40297,1.78565,1.71317,0.00854,0.00033425,0.00033425,0.00033425
76,865.923,1.12506,0.64674,0.0042,0.65191,0.5745,0.6191,0.38319,1.80812,1.71346,0.0088,0.000321875,0.000321875,0.000321875
77,877.255,1.14755,0.61554,0.00395,0.64145,0.57438,0.60632,0.3833,1.78139,1.65786,0.00874,0.0003095,0.0003095,0.0003095
78,888.891,1.10437,0.62824,0.00384,0.64885,0.55199,0.60792,0.37983,1.75759,1.8084,0.0084,0.000297125,0.000297125,0.000297125
79,899.899,1.13875,0.64389,0.00388,0.66313,0.54081,0.61331,0.39397,1.72613,1.8106,0.00825,0.00028475,0.00028475,0.00028475
80,911.023,1.12123,0.60589,0.00365,0.72138,0.53363,0.61983,0.39386,1.7684,1.80705,0.00845,0.000272375,0.000272375,0.000272375
81,922.373,1.05447,0.58787,0.00388,0.64875,0.54094,0.60304,0.38366,1.78242,1.8486,0.00837,0.00026,0.00026,0.00026
82,933.394,1.1529,0.66551,0.00381,0.75455,0.50725,0.61985,0.39349,1.80009,1.81289,0.00838,0.000247625,0.000247625,0.000247625
83,944.567,1.10307,0.60787,0.00405,0.54436,0.60735,0.61147,0.38878,1.78096,1.798,0.0084,0.00023525,0.00023525,0.00023525
84,955.584,1.04868,0.55111,0.00373,0.63805,0.55731,0.62631,0.39518,1.764,1.81227,0.00836,0.000222875,0.000222875,0.000222875
85,966.631,1.07033,0.59026,0.00432,0.72049,0.52692,0.62452,0.40126,1.73717,1.77725,0.00823,0.0002105,0.0002105,0.0002105
86,977.707,1.07166,0.55534,0.00384,0.68543,0.54066,0.62275,0.39029,1.73427,1.75552,0.0082,0.000198125,0.000198125,0.000198125
87,988.953,1.08916,0.56503,0.00411,0.60844,0.5903,0.63289,0.38069,1.74584,1.7692,0.00815,0.00018575,0.00018575,0.00018575
88,999.978,1.01457,0.53111,0.00353,0.59891,0.57078,0.61674,0.39534,1.74896,1.77169,0.00827,0.000173375,0.000173375,0.000173375
89,1011.13,0.98235,0.55173,0.00346,0.6592,0.56124,0.62645,0.40193,1.75812,1.82435,0.00821,0.000161,0.000161,0.000161
90,1022,1.05858,0.53702,0.00373,0.65214,0.55869,0.62607,0.39769,1.76483,1.86211,0.00815,0.000148625,0.000148625,0.000148625
91,1033.35,0.96273,0.51355,0.00382,0.64385,0.56624,0.61536,0.40061,1.75534,1.88623,0.00816,0.00013625,0.00013625,0.00013625
92,1044.41,0.91866,0.47135,0.00373,0.618,0.58928,0.63522,0.40052,1.76085,1.86099,0.00822,0.000123875,0.000123875,0.000123875
93,1055.16,0.94259,0.45627,0.00364,0.6073,0.62302,0.63581,0.39088,1.72454,1.95519,0.00799,0.0001115,0.0001115,0.0001115
94,1065.73,0.9368,0.4816,0.00353,0.57429,0.5973,0.63234,0.39649,1.71882,2.0149,0.00789,9.9125e-05,9.9125e-05,9.9125e-05
95,1076.3,0.8932,0.4765,0.00365,0.7355,0.50411,0.63112,0.3945,1.72475,1.98817,0.00794,8.675e-05,8.675e-05,8.675e-05
96,1086.88,0.9316,0.44849,0.00359,0.6934,0.52852,0.62104,0.39784,1.7306,1.97644,0.00798,7.4375e-05,7.4375e-05,7.4375e-05
97,1097.68,0.89669,0.44294,0.00336,0.7119,0.51718,0.63356,0.399,1.74177,1.96343,0.00805,6.2e-05,6.2e-05,6.2e-05
98,1108.72,0.91283,0.45561,0.0035,0.70655,0.52332,0.62854,0.39528,1.73755,1.95641,0.00803,4.9625e-05,4.9625e-05,4.9625e-05
99,1120.38,0.90388,0.41339,0.00346,0.68875,0.52948,0.62888,0.39437,1.7304,1.9596,0.00799,3.725e-05,3.725e-05,3.725e-05
100,1131.86,0.9075,0.41732,0.00353,0.60714,0.61742,0.63066,0.40244,1.72132,1.96838,0.00792,2.4875e-05,2.4875e-05,2.4875e-05
